routine,manageDirVars,sparrowSetup,sparrowExec,shiny,batch,errorTrap,utility,lists,rmd,fortran,external,dynamic
accumulateIncrArea.R,,1,,,,,,,,,,
addMarkerText.R,,,,,,,1,,,,,
addVars.R,1,,,,,,,,,,,
aggDynamicMapdata.R,,,,1,,,1,,,,,1
allowRemoveRow.R,,,,1,,,1,,,,,
applyUserModify.R,,1,,,,,,,,,,
areColors.R,,,,,,1,1,,,,,
assignIncremSiteIDs.R,,1,,,,,,,,,,
batchGeoLines.R,1,,,,1,,,,,,,
batchlineShape.R,1,,,,1,,,,,,,
batchMaps.R,,,,,1,,,,,,,
batchMaps_checkDrain.R,,,,,1,,,,,,,
batchpolyShape.R,1,,,,1,,,,,,,
batchRun.R,,,,,1,,,,,,,
calcClassLandusePercent.R,,1,,,,,,,,,,
calcDemtareaClass.R,,1,,,,,,,,,,
calcHeadflag.R,,1,,,,,,,,,,
calcIncremLandUse.R,,,,,,,1,,,,,
calcTermflag.R,,1,,,,,,,,,,
checkAnyMissingSubdataVars.R,,,,,,1,,,,,,
checkBinaryMaps.R,,,,,,1,1,,,,,
checkClassificationVars.R,,1,,,,1,,,,,,
checkData1NavigationVars.R,,1,,,,1,,,,,,
checkDrainageareaErrors.R,,1,,,,1,,,,,,1
checkDrainageareaMapPrep.R,,1,,,,1,,,,,,1
checkDupVarnames.R,,1,,,,1,,,,,,
checkDynamic.R,,,,,,,1,,,,,1
checkFileEncoding.R,,1,,,,1,,,,,,
checkingMissingVars.R,,1,,,,1,,,,,,
checkMissingData1Vars.R,,1,,,,1,,,,,,
checkMissingSubdataVars.R,,1,,,,,,,,,,
compileALL.R,,,,1,,,1,,,,,
compileInput.R,,,,1,,,1,,,,,
controlFileTasksModel.R,,,1,,,,,,,,,
convertHotTables.R,,,,1,,,1,,,,,
copyPriorModelFiles.R,,1,,,,,,,,,,
copyStructure.R,,,,,,,1,,,,,
correlationMatrix.R,,,1,,,,,,,,,
create_diagnosticPlotList.R,,,,,,,1,,,,,
createDataMatrix.R,,1,,,,,,,,,,
createDirs.R,1,,,,,,,,,,,
createInitialDataDictionary.R,,1,,,,,,,,,,
createInitialParameterControls.R,,1,,,,,,,,,,
createInteractiveChoices.R,,,,1,,,1,,,,,
createMasterDataDictionary.R,,1,,,,,,,,,,
createRTables.R,,,,1,,,1,,,,,
createSubdataSorted.R,,1,,,,,,,,,,
createVerifyReachAttr.R,,1,,,,,,,,,,
dataInputPrep.R,,1,,,,,,,,,,
deleteFiles.R,1,,,,,,,,,,,
deliv_fraction.for,,,,,,,,,,1,,
deliver.R,,,1,,,,,,,,,
diagnosticMaps.R,,,1,,,,,,,,,
diagnosticPlots_4panel_A.R,,,1,,,,,,,,,1
diagnosticPlots_4panel_B.R,,,1,,,,,,,,,1
diagnosticPlotsNLLS.R,,,1,,,,,,,,,
diagnosticPlotsNLLS_dyn.R,,,1,,,,,,1,,,1
diagnosticPlotsNLLS_timeSeries.R,,,,,,,1,,,,,1
diagnosticPlotsValidate.R,,,1,,,,,,,,,
diagnosticResidMapExec.R,,,1,,,,,,,,,
diagnosticSensitivity.R,,,1,,,,,,,,,
diagnosticSpatialAutoCorr.R,,,1,,,,,,,,,
dropFunc.R,,,,1,,,1,,,,,
eigensort.R,,,1,,,,,,,,,
errorOccurred.R,,,,,,1,1,,,,,
estimate.R,,,1,,,,,,,,,
estimateBootstraps.R,,,1,,,,,,,,,
estimateFeval.R,,,1,,,,,,,,,
estimateFevalNoadj.R,,,1,,,,,,,,,
estimateNLLSmetrics.R,,,1,,,,,,,,,
estimateNLLStable.R,,,1,,,,,,,,,
estimateOptimize.R,,,1,,,,,,,,,
estimateWeightedErrors.R,,,1,,,,,,,,1,
executeRSPARROW.R,,,1,,,,,,,,,
executionTree.R,,,,,,,,,,,1,
exitRSPARROW.R,,,,,,,1,,,,,
findCodeStr.R,,,,,,,,,,,1,
findControlFiles.R,1,,,,,,,,,,,
findMinMaxLatLon.R,,,,,,,1,,,,,
findScriptName.R,1,,,,,,,,,,,
fixDupLatLons.R,,1,,,,1,,,,,,
g_legend.R,,,,,,,1,,,,,
generateInputLists.R,,,,,,,,1,,,,
getCharSett.R,,,,,,,,1,,,,
getdindx.R,,,1,,,,,,,,,
getNumSett.R,,,,,,,,1,,,,
getOptionSett.R,,,,,,,,1,,,,
getShortSett.R,,,,,,,,1,,,,
getSpecialSett.R,,,,,,1,,1,,,,
getuindx.R,,,1,,,,,,,,,
getVarList.R,,,,,,,,1,,,,
getYesNoSett.R,,,,,,,,1,,,,
goShinyPlot.R,,,,1,,,,,,,,
handsOnMod.R,,,,1,,,1,,,,,
handsOnUI.R,,,,1,,,1,,,,,
hline.R,,,,,,,1,,,,,
hydseq.R,,1,,,,,,,,,,
hydseqTerm.R,,1,,,,,,,,,,
importCSVcontrol.R,,,,,,,1,,,,,
interactiveBatchRun.R,,,,1,1,,,,,,,
isScriptSaved.R,1,,,,,,,,,,,
make_calSiteMaps.R,,,,,,,1,,,,,
make_diagnosticPlotsNLLS_timeSeries.R,,,,,,,1,,,,,
make_drainageAreaErrorsMaps.R,,,,,,,1,,,,,
make_drainageAreaErrorsPlot.R,,,,,,,1,,,,,
make_dyndiagnosticPlotsNLLS.R,,,,,,,1,,,,,
make_dyndiagnosticPlotsNLLS_corrPlots.R,,,,,,,1,,,,,
make_dyndiagnosticPlotsNLLS_sensPlots.R,,,,,,,1,,,,,
make_modelEstPerfPlots.R,,,,,,,1,,,,,
make_modelSimPerfPlots.R,,,,,,,1,,,,,
make_residMaps.R,,,,,,,1,,,,,
make_siteAttrMaps.R,,,,,,,1,,,,,
makeAESvector.R,,,,,,,1,,,,,
makePaths.R,1,,,,,,,,,,,
makeReport_calSiteMaps.R,,,,,,,1,,,,,
makeReport_diagnosticPlotsNLLS.R,,,,,,,1,,,,,
makeReport_drainageAreaErrorsPlot.R,,,,,,,1,,,,,
makeReport_dynCalSiteMaps.R,,,,,,,1,,,,,
makeReport_dynResidMaps.R,,,,,,,1,,,,,
makeReport_header.R,,,,,,,1,,,,,
makeReport_modelEstPerf.R,,,,,,,1,,,,,
makeReport_modelSimPerf.R,,,,,,,1,,,,,
makeReport_outputMaps.R,,,,,,,1,,,,,
makeReport_residMaps.R,,,,,,,1,,,,,
makeReport_siteAttrMaps.R,,,,,,,1,,,,,
makeReport_staticCalSiteMaps.R,,,,,,,1,,,,,
makeReport_staticResidMaps.R,,,,,,,1,,,,,
mapBreaks.R,,,,,,,1,,,,,
mapLoopStr.R,,,,,,,1,,,,,1
mapSiteAttributes.R,,,1,,,,,,,,,
mod_read_utf8.R,,1,,,,1,,,,,,
modelCompare.R,,,1,,,,,,,,,
mptnoder.for,,,,,,,,,,1,,
named.list.R,,,,,,,1,,,,1,
naOmitFuncStr.R,,,,,,,1,,,,,
openDesign.R,1,,,,,,,,,,,
openParameters.R,1,,,,,,,,,,,
openVarnames.R,1,,,,,,,,,,,
outcharfun.R,,,,,,,1,,,,,
outputSettings.R,,1,,,,,,,,,,
plotlyLayout.R,,,,,,,1,,,,,
predict.R,,,,,,,,,,,,
predictBoot.R,,,1,,,,,,,,,
predictBootsOutCSV.R,,,1,,,,,,,,,
predictBootstraps.R,,,1,,,,,,,,,
predictMaps.R,,,1,,,,,,,,,
predictMaps_single.R,,,,,,,1,,,,,
predictOutCSV.R,,,1,,,,,,,,,
predictScenarios.R,,,1,,,,,,,,,
predictScenariosOutCSV.R,,,1,,,,,,,,,
predictScenariosPrep.R,,,1,,,,,,,,,
predictSensitivity.R,,,1,,,,,,,,,
predictSummaryOutCSV.R,,,1,,,,,,,,,
ptnoder.for,,,,,,,,,,1,,
read_dataDictionary.R,,1,,,,,,,,,,
readData.R,,1,,,,,,,,,,
readDesignMatrix.R,,1,,,,,,,,,,
readForecast.R,,1,,,,,,,,,1,
readParameters.R,,1,,,,,,,,,,
removeObjects.R,1,,,,,,,,,,,
render_report.R,,,,,,,1,,1,,,
replaceData1Names.R,,1,,,,,,,,,,
replaceNAs.R,,,,,,,1,,,,1,
RSPARROW_objects.R,,1,,,,,1,,,,1,
runBatchShiny.R,,,,1,,,,,,,1,
runRsparrow.R,,,1,,,,,,,,,
selectAll.R,,,,1,,,1,,,,,
selectCalibrationSites.R,,,1,,,,,,,,,
selectDesignMatrix.R,,,1,,,,,,,,,
selectParmValues.R,,,1,,,,,,,,,
selectValidationSites.R,,,1,,,,,,,,,
set_unique_breaks.R,,,,,,,1,,,,,
setMapDefaults.R,,1,,,,1,,,,,,
setNAdf.R,,,,,,,1,,,,,
setNLLSWeights.R,,,1,,,,,,,,,
setupDynamicMaps.R,,,,,,,1,,,,,1
setupMaps.R,,1,,,,,,,,,,
shapeFunc.R,,,,1,,,,,,,,
shinyErrorTrap.R,,,,1,,1,,,,,,
shinyMap2.R,,,,1,,,,,,,,
shinySavePlot.R,,,,1,,,,,,,,
shinyScenarios.R,,,,1,,,,,,,,
shinyScenariosMod.R,,,,1,,,,,,,,
shinySiteAttr.R,,,,1,,,,,,,,
sites_incr.for,,,,,,,,,,1,,
sourceRedFunc.R,,,,1,,,,,,,,
startEndmodifySubdata.R,,1,,,,,,,,,,
startModelRun.R,,,1,,,,,,,,,
streamCatch.R,,,,1,,,,,,,,
sumIncremAttributes.R,,1,,,,,,,,,,
syncVarNames.R,1,,,,,,,,,,,
test_addPlotlyvars,,,,,,,1,,,,,
test_addPlotlyvars.R,,,,,,,1,,,,,
testCosmetic.R,,,,1,,1,,,,,,
testRedTbl.R,,,,1,,1,,,,,,
testSettings.R,1,,,,,1,,,,,,
tnoder.for,,,,,,,,,,1,,
unPackList.R,,,,,,,1,,,,,
updateVariable.R,,,,1,,,1,,,,,
upstream.R,,,1,,,,,,,,,
validateFevalNoadj.R,,,1,,,,,,,,,
validateMetrics.R,,,1,,,,,,,,,
validCosmetic.R,,,,1,,1,,,,,,
validSetting.R,,,,1,,1,,,,,,
verifyDemtarea.R,,1,,,,,,,,,,
